regionid,regiontype,relativesignificance,subclass,regionname,regionnamelong,parentregionid
3000432767,City,,,Bury,"Bury, Quebec, Canada",11183
6213185,Metro Station,,,Queen Station,"Queen Station, Toronto, Ontario, Canada",6057934
31,Country,,,Canada,Canada,500001
11111,Province (State),,,Alberta,"Alberta, Canada",31
11117,Province (State),,,British Columbia,"British Columbia, Canada",31
11148,Province (State),,,Manitoba,"Manitoba, Canada",31
11161,Province (State),,,New Brunswick,"New Brunswick, Canada",31
11167,Province (State),,,Newfoundland and Labrador,"Newfoundland and Labrador, Canada",31
11172,Province (State),,,Northwest Territories,"Northwest Territories, Canada",31
11173,Province (State),,,Nova Scotia,"Nova Scotia, Canada",31
11178,Province (State),,,Ontario,"Ontario, Canada",31
11183,Province (State),,,Quebec,"Quebec, Canada",31
11191,Province (State),,,Saskatchewan,"Saskatchewan, Canada",31
11216,Province (State),,,Yukon,"Yukon, Canada",31
6025605,Province (State),,,Nunavut,"Nunavut, Canada",31
6058122,Province (State),,,Prince Edward Island,"Prince Edward Island, Canada",31
6058228,High Level Region,,,Duplessis,"Duplessis, Quebec, Canada",31
6209826,High Level Region,,,Atlantic Provinces,"Atlantic Provinces, Canada",31
6234134,High Level Region,,,Ottawa Valley,"Ottawa Valley, Canada",31
6234137,High Level Region,,,Upper Ottawa Valley,"Upper Ottawa Valley, Canada",31
3000651868,High Level Region,,,Acadian Peninsula,"Acadian Peninsula, New Brunswick, Canada",31
3000655567,High Level Region,,,Bay of Fundy & Annapolis Valley,"Bay of Fundy & Annapolis Valley, Canada",31
3000655580,High Level Region,,,Haliburton Highlands to the Ottawa Valley,"Haliburton Highlands to the Ottawa Valley, Canada",31
3000655604,High Level Region,,,The Whale Route,"The Whale Route, Canada",31
553248621593511309,High Level Region,,,Canadian Rocky Mountain Parks,"Canadian Rocky Mountain Parks, Canada",31
553248621593511335,High Level Region,,,Ninstints,"Ninstints, British Columbia, Canada",31
553248621593511342,High Level Region,,,Thunder Hill Ski Area,"Thunder Hill Ski Area, Manitoba, Canada",31
6152135,Point of Interest,,tree,Columbia Icefield,"Columbia Icefield, Jasper National Park South Entrance, Alberta, Canada",31
553248621532865443,Point of Interest,,,Lieu historique national du Fort-Temiscamingue,"Lieu historique national du Fort-Temiscamingue, Canada",31
553248635922160474,City,,,Star,"Star, Alberta, Canada",11111
6053867,City,,,Oyen,"Oyen, Alberta, Canada",11111
3000474403,City,,,Duchess,"Duchess, Alberta, Canada",11111
3000451530,City,,,Richer,"Richer, Manitoba, Canada",11148
10571,City,,,Amos,"Amos, Quebec, Canada",11183
553248635921965263,City,,,Oakburn,"Oakburn, Manitoba, Canada",11148
4183,City,,,La Tabatiere,"La Tabatiere, Quebec, Canada",11183
6338843,City,,,Villeroy,"Villeroy, Quebec, Canada",11183
7063,City,,,St. Felicien,"St. Felicien, Quebec, Canada",11183
7077,City,,,St. Jerome,"St. Jerome, Quebec, Canada",11183
3000370224,City,,,Franklin,"Franklin, Quebec, Canada",11183
